,tweet_text
0,"Even as scientists are trying to find the vaccine for the #COVID19, #Patanjali has claimed the Ayurvedic medicine k… https://t.co/zkLSHkqVA7"
1,Ajmal Wazir says govt imposes smart lockdown in various areas of province to stop transmission of Covid-19… https://t.co/t3xmDlk3rE
2,"*NEWS*
1. Patanjali launches Ayurvedic Covid 19 medicine 
2. Mumbai based Glenmark to launch oral drug for Covid 19… https://t.co/Lvpterb8fK"
3,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
4,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
5,It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under t… https://t.co/Ka4A9hgjeM
6,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
7,"RT @_SarAKASHtic_: #Patanjali launches Ayurvedic medicine for Covid-19, claims 100% recovery.

Corona to Ramdev baba:- https://t.co/4vaT8wH…"
8,"#BREAKING : PATANJALI LAUNCHES #Coronil , Ayurvedic Drug to cure  Covid-19, @yogrishiramdev Claims 100% Patients Re… https://t.co/dAdZi2SfYf"
9,No shame left in our government nor our corrupt leader. A dark day when thousands of citizens are worried about eco… https://t.co/T6e24ZmsNO
10,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
11,"#BabaRamdev and #Patanjali
know only 100% cure for Cancer to Corona . #coronilTablet
is a scam.

Remember #Moderna… https://t.co/0RZ8RdgwGd"
12,"RT @pioneergroupfw: Sign up for debt review at the Pioneer group and stand a chance to WIN R2000!

Valid from the 21st to 30th June 2020 T'…"
13,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
14,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
15,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
16,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
17,"RT @soni_0015: #NationSatisfiedByPMIK
PM’s Covid-19 Fund portal is launched for the people who lost their jobs due to corona pandemic. http…"
18,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
19,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
20,"RT @akashgubrele: #Patanjali  launch Ayurvedic drug to cure Covid 19 within 14 days

#BabaRamdev to Corona : https://t.co/dTFaX4USGA"
21,"#CORONIL
Patanjali Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said w… https://t.co/ddxEZcWLaa"
22,"RT @PunManDhan: #Patanjali to launch ayurvedic drug for Covid-19 , cure within 14 days - #BabaRamdev
#Patnajali to corona patients now- htt…"
23,"RT @Lahorepoliceops: News Bulletin Capital City Police Lahore
#Corona
#CoronaVirusPakistan 
#Covid_19 
#iOS14 https://t.co/zEKi2VIsSC"
24,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
25,"RT @deeshajani: Congratulations India , Congratulations Patanjali for the invention of 1st Clinically approved Medicine on Corona (COVID 19…"
26,"@pioneergroupfw #PioneerGivesBack 
#WeHaveYourBack  #WIN
#InstantPrize #Money #Corona 
#COVID-19 #CoronaVirus

Awes… https://t.co/on8ieex2o1"
27,"#Patanjali launches Ayurvedic medicine for Covid-19, claims 100% recovery.

Corona to Ramdev baba:- https://t.co/4vaT8wHO4p"
28,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
29,"Is the actual COVID-19 toll being concealed in Uttar Pradesh?

For Yogi - “No test=No corona” 
#झूठा_सीएम_योगी

https://t.co/2viBQHjOTN"
30,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
31,"We are in this together.
#covid-19 #CoronavirusPandemic #Corona #badabusiness https://t.co/uPvXBURzVM"
32,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
33,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
34,"RT @AshutoshV10: Patanjali launches Ayurvedic drug, 'Coronil and Swasari Vati' to treat COVID-19.

It claimed 100% success rate in clinical…"
35,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
36,BREAKING NEWS: Stalin tests positive for COVID-19 https://t.co/J77v3Wobx6
37,"RT @eniola_opeyemi: BREAKING: 13 Lawmakers Test Positive for Corona Virus

13 lawmakers of the Imo State House of Assembly have tested posi…"
38,RT @jens_rabis: @BeratungDda @daumen_gruener @freeWorld2 @Kachelmann @transhumaneDE @cducsubt @CSU @CDU @fdp @Piratenpartei @Pontifex_de @E…
39,"RT @pioneergroupfw: What is the Pioneer group slogan? Comment with your answer and stand a chance to be 1 of 10 lucky winners!

Valid 22nd…"
40,"RT @ictstifr: In the race to develop new vaccines for COVID-19, labs around the world are growing different strains of the virus. A new vid…"
41,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
42,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
43,"RT @pioneergroupfw: Sign up for debt review at the Pioneer group and stand a chance to WIN R2000!

Valid from the 21st to 30th June 2020 T'…"
44,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
45,RT @AamAadmiParty: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the ne…
46,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
47,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
48,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
49,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
50,RT @AamAadmiParty: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the ne…
51,"RT @ictstifr: In the race to develop new vaccines for COVID-19, labs around the world are growing different strains of the virus. A new vid…"
52,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
53,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
54,We're kicking off the Unisys #SECURITYINDEX launch with a bang with more than 100 national and regional news mentio… https://t.co/CXYdl6AHV3
55,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
56,"Don't say corona virus isn't real...protect yourself first

#Covid_19 #animation #TuesdayThoughts #staysafe https://t.co/dPFpV1sro4"
57,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
58,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
59,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
60,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
61,"RT @PKotekar: #IndiaFightsCorona
Find out more on how India under PM Modi’s leadership has tackled COVID-19 https://t.co/zEWsdjHhE4
via NaM…"
62,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
63,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
64,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
65,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
66,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
67,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
68,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
69,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
70,"RT @PunManDhan: #Patanjali to launch ayurvedic drug for Covid-19 , cure within 14 days - #BabaRamdev
#Patnajali to corona patients now- htt…"
71,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
72,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
73,"And last, and a discussion by @diesalama, David den Dunnen and myself on the impact of #Covid_19 on #peacekeeping o… https://t.co/PKKb1hzmPT"
74,@NYGovCuomo @chrisrock Promoting better immune health &amp; telling all New Yorkers the truth about treating the Corona… https://t.co/RgK6PrkWfo
75,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
76,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
77,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
78,"RT @AskBhavesh: Ramdev's Patanjali Claims New Drugs Will Cure Covid Patients In 7 Days.

#bhaveshparmar #CORONIL #babaramdev #ramdev #coron…"
79,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
80,"Ramdev's Patanjali Claims New Drugs Will Cure Covid Patients In 7 Days.

#bhaveshparmar #CORONIL #babaramdev… https://t.co/35tMksSEri"
81,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
82,"Whttt the hell... We are covid-19 free, Taraba state is Corona virus free.... 🤙 https://t.co/l4s8azckuB"
83,"RT @arifaajakia: During dangerous situation of Corona, this is Karachi. Funeral prayer of Mufti Naeem.
In March/April I had posted that Muf…"
84,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
85,"@Ach_Balkrishna @yogrishiramdev What is the evidence that,  this medicine works against Corona,  did GOI,  approved… https://t.co/zwObSfR1yy"
86,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
87,GOV CORONA-VIRUS UPDATE Attendance in education and early years settings during the coronavirus (COVID-19) outbreak… https://t.co/iAJFJ2t0Mc
88,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
89,@realDonaldTrump Get a good statistician on your team; they will tell you that more testing positions you to better… https://t.co/hVx6hzTCMV
90,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
91,RT @chair_un: We are happy to announce that Sladjana Cemerikic (@SladjanaCemerik) is joining our panelists on June 29 to discuss the impact…
92,"RT @RobRobbEdwards: Indonesia resumes release of captive wildlife amid COVID-19

Indonesia has allowed the release of captive animals back…"
93,RT @DrIshanAgrawal1: @OfficeofSSC @ChouhanShivraj It's totally unfair for medical students comes under MPMSU. In this pandemic covid-19 med…
94,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
95,Blog writing-all: How to prevent the spread of corona virus(COVID-19... https://t.co/oaNc4etgqe
96,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
97,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
