,tweet_text
98,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
99,"@pioneergroupfw @BlueSpicey @avhaathunemagu2 
@Nthabisengmg24 
@ChantalOliver1 
@Tshego_Pretty 
@zehlubi09… https://t.co/NUhpkL6DV7"
100,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
101,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
102,"RT @WaliaIps: who is responsible if any child will suffer by corona -covid-19 
tell us @AnuragTyagi @HRDMinistry @narendramodi @cbseindia29…"
103,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
104,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
105,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
106,"@pioneergroupfw Done
#PioneerGivesBack
#WeHaveYouBack #Win
#InstantPrize #Money #Corona
#COVID-19 #Coronavirus"
107,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
108,@Godswarrior1993 @Grind_TimeSSU @jvillepatfan @biggers_roscoe @JustScottNJ SARS is King Flu.  Wuhan virus is COVID-… https://t.co/5e5QknviiP
109,"RT @itsmesandeep887: #Patanjali #CORONIL #coronavirus
Ramdev claims to have made 1st medicine against Covid-19, recovery in 7 days........…"
110,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
111,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
112,"The front line in the fight against corona virus has been led by nurses, doctors, EMT’s and others in health care.… https://t.co/ryIhlaL6iz"
113,New Blog !!! Humour in a time of Covid-19 https://t.co/lgoGpTB6mw #NWH2020 #DailyLife #FunnyStories #Humour #Jokes… https://t.co/iUabYNlXdG
114,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
115,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
116,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
117,"#babaramdev after launched coronil and everyone is thinking covid 19 will end*

Meanwhile corona : https://t.co/LV1NhnJsoF"
118,"All about COVID-19 India Analytics https://t.co/8qUhF7Acs0
Total cases in India: 432200| No. of New Cases in India:… https://t.co/TNzFw8Puj9"
119,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
120,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
121,"RT @PunManDhan: #Patanjali to launch ayurvedic drug for Covid-19 , cure within 14 days - #BabaRamdev
#Patnajali to corona patients now- htt…"
122,Coronil..! Will it be a successful medicine for the treatment of  corona?? https://t.co/Id0sdLOkAt
123,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
124,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
125,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
126,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
127,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
128,"@britishbullybee The times are indeed a changin

https://t.co/vBLn8Hwej0

#corona #Covid_19  #lockdown https://t.co/gEKFkAY1Kl"
129,"RT @ebmpsykiatri: Swedish cruelty against pensionists/elderely suffering from Corona virus sparks international catholic attention

https:/…"
130,"RT @PunManDhan: #Patanjali to launch ayurvedic drug for Covid-19 , cure within 14 days - #BabaRamdev
#Patnajali to corona patients now- htt…"
131,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
132,"The times are indeed a changin

https://t.co/RggRqUz6vO

#corona #Covid_19  #lockdown https://t.co/R86r58swXP"
133,RT @AamAadmiParty: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the ne…
134,"Congratulations India , Congratulations Patanjali for the invention of 1st Clinically approved Medicine on Corona (… https://t.co/81zbZsh5Pj"
135,"RT @soni_0015: #NationSatisfiedByPMIK
PM’s Covid-19 Fund portal is launched for the people who lost their jobs due to corona pandemic. http…"
136,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
137,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
138,"Thanks to Allah, Tested negative for Corona.
Stay home stay safe
#CoronaVirusPakistan 
#Covid_19"
139,RT @ramkumarjha: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the new…
140,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
141,Finally we got Hope to live. CURE FOR COVID 19. Big Thanks on behalf of entire nation to Baba Ramdev ji &amp; team for… https://t.co/7ScaSpt9MM
142,"This is one of our efforts to decide on the spread of Corona Virus or Covid 19.appealed to the community, should al… https://t.co/rDoqZ8Nl63"
143,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
144,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
145,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
146,RT @ramkumarjha: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the new…
147,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
148,"This is one of our efforts to decide on the spread of Corona Virus or Covid 19.appealed to the community, should al… https://t.co/lbMZ3tfn4J"
149,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
150,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
151,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
152,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
153,Healthcare workers need to treat every case like a COVID-19 patient during monsoon. What does this mean for healthc… https://t.co/Jo3Vgy5Krz
154,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
155,"RT @iniravmaru: Why @drharshvardhan @DrHVoffice @MoHFW_INDIA @ICMRDELHI are silent on Patanjali’s Corona medicene 
#CORONIL?

Atleast give…"
156,"RT @soni_0015: #NationSatisfiedByPMIK
PM’s Covid-19 Fund portal is launched for the people who lost their jobs due to corona pandemic. http…"
157,"BREAKING: 13 Lawmakers Test Positive for Corona Virus

13 lawmakers of the Imo State House of Assembly have tested… https://t.co/Jujk8LPZDI"
158,"RT @pioneergroupfw: What is the Pioneer group slogan? Comment with your answer and stand a chance to be 1 of 10 lucky winners!

Valid 22nd…"
159,"In the race to develop new vaccines for COVID-19, labs around the world are growing different strains of the virus.… https://t.co/xo8T8k1GYR"
160,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
161,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
162,Healthcare workers need to treat every case like a COVID-19 patient during monsoon. What does this mean for healthc… https://t.co/vjYFQgKwV4
163,"RT @RobRobbEdwards: Indonesia resumes release of captive wildlife amid COVID-19

Indonesia has allowed the release of captive animals back…"
164,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
165,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
166,"Why @drharshvardhan @DrHVoffice @MoHFW_INDIA @ICMRDELHI are silent on Patanjali’s Corona medicene 
#CORONIL?

Atlea… https://t.co/X8vhPVSYk4"
167,"RT @AsadAToor: #Lahore, a city of over 11 million, has 643 ICU beds available for #Covid_19 patients, of which only 35 to 38 were left vaca…"
168,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
169,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
170,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
171,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
172,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
173,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
174,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
175,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
176,RT @AamAadmiParty: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the ne…
177,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
178,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
179,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
180,"@JSwanEsquire Just like that more familiar corona virus, the common cold. I’ll go for monthly vaccines, if needed, to avoid Covid-19"
181,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
182,"RT @MariyamAman2: #NationSatisfiedByPMIK
Prime Minister Imran Khan launched Ehsaas Emergency Cash programme for those rendered jobless due…"
183,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
184,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
185,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
186,"RT @itsmesandeep887: #Patanjali #CORONIL #coronavirus
Ramdev claims to have made 1st medicine against Covid-19, recovery in 7 days........…"
187,@pioneergroupfw Empowering you to be financially healthy #PioneerGroup #PioneerGivesBack #WeHaveYourBack #Win… https://t.co/WxOBSdJ2e3
188,"RT @soni_0015: #NationSatisfiedByPMIK
PM’s Covid-19 Fund portal is launched for the people who lost their jobs due to corona pandemic. http…"
189,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
190,"RT @MariyamAman2: #NationSatisfiedByPMIK
Prime Minister Imran Khan launched Ehsaas Emergency Cash programme for those rendered jobless due…"
191,RT @AamAadmiParty: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the ne…
192,"RT @Jana_Shah: Official:
Due to #Covid_19 International #Hajj2020 has been cancelled.
Foreigners will not be able to perform Hajj for year…"
193,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
194,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
195,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
196,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
197,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
198,"RT @pioneergroupfw: What is the Pioneer group slogan? Comment with your answer and stand a chance to be 1 of 10 lucky winners!

Valid 22nd…"
199,"RT @itsmesandeep887: #Patanjali #CORONIL #coronavirus
Ramdev claims to have made 1st medicine against Covid-19, recovery in 7 days........…"
200,"@pioneergroupfw @BlueSpicey Empowering You To Be Financially Healthy
#PioneerGroup  #PioneerGivesBack… https://t.co/RkiSoBLNgj"
201,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
202,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
203,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
204,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
205,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
206,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
207,"RT @EmilySc63084734: I can not believe!!😦😯

The only solution for the president of the United States regarding Corona is not to test people…"
208,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
209,RT @genavievejohns1: @pioneergroupfw Sharing is caring @PatJaco46425021 @MarHen36 @CaseyHe45099406 #PioneerGivesBack #WeHaveYourBack #WIN #…
210,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
211,"RT @xmarthasue: tested corona virus positive? nah, i tested poggers positive!!!

i have covid-19."
212,RT @RJP56: @BulldogTheodore @NBCNews With over 124 Thousand Corona Virus Deaths! Trump and his Stupid Hate NAZI Rallies are trying to Kill…
213,@BulldogTheodore @NBCNews With over 124 Thousand Corona Virus Deaths! Trump and his Stupid Hate NAZI Rallies are tr… https://t.co/P64FfAn30t
214,"Always available for your Health Assistance.

Offered Cancer Treatment to more than 10,000 patients in COVID-19 Pan… https://t.co/rGnobEDWNA"
