,tweet_text
0,"We are in this together.
#covid-19 #CoronavirusPandemic #Corona #badabusiness https://t.co/uPvXBURzVM"
1,"RT @MadarasiMunda: This COVID-19 pandemic and today's news about Safoora taught us all one valuable lesson. 

We can find a cure to corona,…"
2,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
3,"RT @AshutoshV10: Patanjali launches Ayurvedic drug, 'Coronil and Swasari Vati' to treat COVID-19.

It claimed 100% success rate in clinical…"
4,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
5,BREAKING NEWS: Stalin tests positive for COVID-19 https://t.co/J77v3Wobx6
6,"RT @eniola_opeyemi: BREAKING: 13 Lawmakers Test Positive for Corona Virus

13 lawmakers of the Imo State House of Assembly have tested posi…"
7,RT @jens_rabis: @BeratungDda @daumen_gruener @freeWorld2 @Kachelmann @transhumaneDE @cducsubt @CSU @CDU @fdp @Piratenpartei @Pontifex_de @E…
8,"RT @pioneergroupfw: What is the Pioneer group slogan? Comment with your answer and stand a chance to be 1 of 10 lucky winners!

Valid 22nd…"
9,"RT @ictstifr: In the race to develop new vaccines for COVID-19, labs around the world are growing different strains of the virus. A new vid…"
10,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
11,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
12,"RT @pioneergroupfw: Sign up for debt review at the Pioneer group and stand a chance to WIN R2000!

Valid from the 21st to 30th June 2020 T'…"
13,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
14,RT @AamAadmiParty: It's not convenient for thousands of COVID patients to stand in queues for getting examined at Care Centres under the ne…
15,"RT @BjornLomborg: 10,000 unexplained, extra dementia deaths in England and Wales in April

Not from corona but because lack of social conta…"
